Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Somalia,SOM,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.420820109,3.992436989,4.337899682,4.465012598,4.471429543,4.928600337,4.745005698,5.801736803,6.10852344,6.103915592
Somalia,SOM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,3.8362712,6.314864259,2.485820895,5.29105138,-0.660791771,-0.070531243,-5.834205719,0.107917838,-0.663211013
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,454.0772642,491.1898041,507.4829155,517.0975815,555.1851236,537.1592902,589.4658919,556.578066,576.5236782,592.103122
Somalia,SOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,54.4
Somalia,SOM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,18.828,..,..,..
Somalia,SOM,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,..,..,..,..,..,..,33.816,..,..,..
South Africa,ZAF,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.77,9.432,9.259,8.924,8.802,8.765,8.614,9.425,11.432,..
South Africa,ZAF,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,8421865499,4430389117,15888404383,5692088406,5532921545,15701253328,7673585461,11114482404,11331894506,13296635748
South Africa,ZAF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.37928032,29.0006193,27.71363841,28.15608817,27.34007578,27.49703715,27.2021294,27.5273513,31.11131985,33.53844579
South Africa,ZAF,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,1.13644E+11,1.10445E+11,96346520856,91482650746,1.04172E+11,1.11373E+11,1.05833E+11,94058828195,1.30882E+11,1.36112E+11
South Africa,ZAF,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,1.626365884,2.017864558,1.59064699,1.387725347,1.952876296,0.993671795,0.806754603,-0.572246973,0.024178288,0.531757307
South Africa,ZAF,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.053580952,1.519327438,0.438735792,0.684612553,0.539673957,1.374291172,1.314077523,0.932200052,9.677949361,2.268805766
South Africa,ZAF,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1712645458,1900417869,3993788901,2275171115,5390643573,-1542500842,-1975160486,-5089414843,-40557211851,-7039751056
South Africa,ZAF,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,6519873358,7692076889,5514928846,4490478135,7449223484,4026961508,3140937957,-1935862273,101577294.3,2155057359
South Africa,ZAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.099461735,-0.172220609,-0.757928114,-0.309171167,0.766941613,0.319770421,-1.030132942,-7.106588782,3.662368303,1.056874677
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,7441.230854,6965.137897,6204.929901,5735.066787,6734.475153,7067.724165,6702.526617,5753.066494,7073.612754,6766.481254
South Africa,ZAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.784469097,6.129837703,4.540642277,6.571396422,5.184246648,4.517165228,4.12024587,3.210035975,4.611672178,7.039726613
South Africa,ZAF,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,55.5,..,..,..,..,..,..,..,..
South Africa,ZAF,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,22.038,22.606,22.869,24.023,23.992,24.218,25.538,24.339,28.77,28.838
